asof_date,symbol,exchange,asset_type,universe_bucket,history_coverage_days_20d,adv_dollar_rth_20d,avg_spread_bps_rth_20d,rth_active_minutes_share_20d,open_30m_dollar_share_20d,close_60m_dollar_share_20d,clean_intraday_score_20d,consistency_score_20d,close_hygiene_20d,wickiness_20d,pm_dollar_share_20d,pm_trades_share_20d,pm_active_minutes_share_20d,pm_spread_bps_20d,pm_wickiness_20d,midday_dollar_share_20d,midday_trades_share_20d,midday_active_minutes_share_20d,midday_spread_bps_20d,midday_efficiency_20d,ah_dollar_share_20d,ah_trades_share_20d,ah_active_minutes_share_20d,ah_spread_bps_20d,ah_wickiness_20d,reclaim_respect_rate_20d,reclaim_failure_rate_20d,reclaim_followthrough_r_20d,ob_sweep_reversal_rate_20d,ob_sweep_depth_p75_20d,fvg_sweep_reversal_rate_20d,fvg_sweep_depth_p75_20d,stop_hunt_rate_20d,setup_decay_half_life_bars_20d,early_vs_late_followthrough_ratio_20d,stale_fail_rate_20d
2026-03-06,MUSA,NYSE,stock,us_midcap,20,12175331.80025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,NOW,NYSE,stock,us_largecap,20,98131150.7715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,NYT,NYSE,stock,us_largecap,20,10258093.911249999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,OC,NYSE,stock,us_midcap,20,9766782.63125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,ODFL,NASDAQ,stock,us_largecap,20,25718556.25525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,OKLO,NYSE,stock,us_midcap,20,11116943.3755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,PAYC,NYSE,stock,us_midcap,20,11614664.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,PFG,NASDAQ,stock,us_largecap,20,8626735.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,PL,NYSE,stock,us_midcap,20,8369103.031749999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,PPG,NYSE,stock,us_largecap,20,11895651.1235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,PTGX,NASDAQ,stock,us_midcap,20,2316261.5392500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RGTI,NASDAQ,stock,us_midcap,20,19186981.3385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RHP,NYSE,stock,us_midcap,20,3424985.4359999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RIVN,NASDAQ,stock,us_largecap,20,21055784.90575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RKLB,NASDAQ,stock,us_largecap,20,26207519.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RKT,NYSE,stock,us_largecap,20,32897176.114249997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RL,NYSE,stock,us_largecap,20,14270856.463499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,RS,NYSE,stock,us_largecap,20,7358118.04675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SAIA,NASDAQ,stock,us_midcap,20,21600656.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SITM,NASDAQ,stock,us_midcap,20,10592086.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SNAP,NYSE,stock,us_midcap,20,14828544.860499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SNDK,NASDAQ,stock,us_largecap,20,242128698.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SNOW,NYSE,stock,us_largecap,20,63737922.62324999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,SOLS,NASDAQ,stock,us_largecap,20,12079982.904000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,STEP,NASDAQ,stock,us_midcap,20,4783945.8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,TPG,NASDAQ,stock,us_largecap,20,15062285.614500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,TTD,NASDAQ,stock,us_largecap,20,28838312.21225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,UEC,AMEX,stock,us_midcap,20,9368845.5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,UWMC,NYSE,stock,us_midcap,20,4549657.9275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,VG,NYSE,stock,us_largecap,20,10210626.493250001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,VSAT,NASDAQ,stock,us_midcap,20,3071608.5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,W,NYSE,stock,us_midcap,20,22177015.51325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,WAL,NYSE,stock,us_midcap,20,9858238.735499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,WDC,NASDAQ,stock,us_largecap,20,79951077.7745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,WH,NYSE,stock,us_midcap,20,8438329.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,WING,NASDAQ,stock,us_midcap,20,20713614.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,WLK,NYSE,stock,us_largecap,20,8690967.856999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,XPO,NYSE,stock,us_largecap,20,33369404.96825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
